id,nombre,apellido,email,telefono,nro_licencia,distrito_base,fecha_ingreso,calificacion_promedio,activo
1,Lola,Patiño,conductor1@ejemplo.com,837955346,Q00000001,Callao,2022-10-16,0.00,True
2,Isidoro,Piñeiro,conductor2@ejemplo.com,961693595,Q00000002,Jesús María,2022-03-08,0.00,True
3,Amarilis,Ordóñez,conductor3@ejemplo.com,940301841,Q00000003,Callao,2024-05-14,0.00,True
4,Ángela,Cabello,conductor4@ejemplo.com,012805292,Q00000004,Lince,2021-08-30,0.00,True
5,Chucho,Llorente,conductor5@ejemplo.com,379739428,Q00000005,Pueblo Libre,2023-01-24,0.00,True
6,Adán,Ribera,conductor6@ejemplo.com,876653383,Q00000006,San Borja,2025-04-28,0.00,True
7,Baltasar,Miranda,conductor7@ejemplo.com,591003458,Q00000007,Callao,2024-07-11,0.00,True
8,Anna,Huguet,conductor8@ejemplo.com,006367938,Q00000008,San Juan de Lurigancho,2025-11-26,0.00,True
9,Felisa,Recio,conductor9@ejemplo.com,250744180,Q00000009,Magdalena,2021-11-18,0.00,True
10,Salomón,Verdú,conductor10@ejemplo.com,818153552,Q00000010,Pueblo Libre,2022-09-09,0.00,True
11,Isabela,Capdevila,conductor11@ejemplo.com,998896747,Q00000011,Surco,2022-02-22,0.00,True
12,Pancho,Rozas,conductor12@ejemplo.com,645778099,Q00000012,San Isidro,2023-07-02,0.00,True
13,María Fernanda,Chaves,conductor13@ejemplo.com,892329407,Q00000013,San Borja,2022-07-08,0.00,True
14,Encarnita,Vall,conductor14@ejemplo.com,888723833,Q00000014,Barranco,2024-03-28,0.00,True
15,Lucía,Puerta,conductor15@ejemplo.com,746643611,Q00000015,Callao,2021-10-26,0.00,True
16,Fabio,Castro,conductor16@ejemplo.com,851762777,Q00000016,San Isidro,2023-09-26,0.00,True
17,Nélida,Clavero,conductor17@ejemplo.com,859319468,Q00000017,Jesús María,2023-03-27,0.00,True
18,Máximo,Gargallo,conductor18@ejemplo.com,021809078,Q00000018,San Isidro,2025-09-16,0.00,True
19,Nilda,Morata,conductor19@ejemplo.com,965091519,Q00000019,Barranco,2024-11-15,0.00,True
20,Pepita,Milla,conductor20@ejemplo.com,506770866,Q00000020,Pueblo Libre,2023-06-12,0.00,True
21,Alfredo,Mínguez,conductor21@ejemplo.com,840814265,Q00000021,Barranco,2023-09-05,0.00,True
22,Pacífica,Peralta,conductor22@ejemplo.com,100624923,Q00000022,San Borja,2025-12-03,0.00,True
23,Régulo,Maza,conductor23@ejemplo.com,421429469,Q00000023,San Borja,2022-03-14,0.00,True
24,Corona,Borrego,conductor24@ejemplo.com,465901593,Q00000024,Surco,2025-05-28,0.00,True
25,Domitila,Franch,conductor25@ejemplo.com,057446878,Q00000025,San Borja,2022-05-26,0.00,True
26,Jose Francisco,Checa,conductor26@ejemplo.com,829140804,Q00000026,Barranco,2022-02-13,0.00,True
27,Enrique,Infante,conductor27@ejemplo.com,575215782,Q00000027,La Molina,2026-01-08,0.00,True
28,Pascuala,Peña,conductor28@ejemplo.com,921475777,Q00000028,San Juan de Lurigancho,2025-01-26,0.00,True
29,Manolo,Lara,conductor29@ejemplo.com,498091407,Q00000029,La Molina,2025-05-04,0.00,True
30,Máxima,Carmona,conductor30@ejemplo.com,307137076,Q00000030,Callao,2025-02-13,0.00,True
31,Maura,Lucas,conductor31@ejemplo.com,628573405,Q00000031,Callao,2025-02-15,0.00,True
32,Encarna,Rocha,conductor32@ejemplo.com,624245903,Q00000032,San Juan de Lurigancho,2021-04-24,0.00,True
33,Leopoldo,Huertas,conductor33@ejemplo.com,964565665,Q00000033,La Molina,2025-07-22,0.00,True
34,Adolfo,Tello,conductor34@ejemplo.com,965046288,Q00000034,San Juan de Lurigancho,2022-08-16,0.00,True
35,Remedios,Ros,conductor35@ejemplo.com,604767937,Q00000035,Magdalena,2021-08-23,0.00,True
36,Tecla,Ropero,conductor36@ejemplo.com,252349454,Q00000036,San Juan de Lurigancho,2024-10-17,0.00,True
37,Ciriaco,Peiró,conductor37@ejemplo.com,843948292,Q00000037,Miraflores,2023-10-10,0.00,True
38,Jose Ignacio,Espejo,conductor38@ejemplo.com,591946020,Q00000038,Callao,2024-09-14,0.00,True
39,Joan,Godoy,conductor39@ejemplo.com,752274116,Q00000039,Surco,2021-12-20,0.00,True
40,Teo,Cifuentes,conductor40@ejemplo.com,906721960,Q00000040,Barranco,2023-08-26,0.00,True
41,Teófilo,Martinez,conductor41@ejemplo.com,389632722,Q00000041,Lince,2024-05-09,0.00,True
42,Iris,Mate,conductor42@ejemplo.com,670682152,Q00000042,Miraflores,2025-07-22,0.00,True
43,Reyna,Cabanillas,conductor43@ejemplo.com,344934233,Q00000043,Magdalena,2025-07-10,0.00,True
44,Delia,Ferrándiz,conductor44@ejemplo.com,805755160,Q00000044,Callao,2021-08-25,0.00,True
45,Azeneth,Romeu,conductor45@ejemplo.com,341608293,Q00000045,La Molina,2024-06-15,0.00,True
46,Ezequiel,Martín,conductor46@ejemplo.com,631789333,Q00000046,La Molina,2025-02-20,0.00,True
47,Julieta,Cañellas,conductor47@ejemplo.com,767558341,Q00000047,La Molina,2021-10-25,0.00,True
48,Rodolfo,Cabezas,conductor48@ejemplo.com,521407197,Q00000048,Magdalena,2021-04-20,0.00,True
49,Julia,Estévez,conductor49@ejemplo.com,275030449,Q00000049,La Molina,2025-03-18,0.00,True
50,Nico,Capdevila,conductor50@ejemplo.com,336771693,Q00000050,Callao,2022-05-03,0.00,True
51,Bartolomé,Jaén,conductor51@ejemplo.com,638591671,Q00000051,Miraflores,2025-03-14,0.00,True
52,Severiano,Heras,conductor52@ejemplo.com,421079759,Q00000052,San Juan de Lurigancho,2024-07-07,0.00,True
53,Gisela,Roldan,conductor53@ejemplo.com,060186593,Q00000053,Barranco,2021-07-20,0.00,True
54,Modesto,Rius,conductor54@ejemplo.com,891798687,Q00000054,Lince,2026-01-16,0.00,True
55,Lupe,Bayo,conductor55@ejemplo.com,697463567,Q00000055,San Juan de Lurigancho,2022-09-18,0.00,True
56,Martin,Robles,conductor56@ejemplo.com,768065434,Q00000056,La Molina,2023-08-15,0.00,True
57,Carlito,Zurita,conductor57@ejemplo.com,924826246,Q00000057,Jesús María,2024-02-12,0.00,True
58,Paola,Blazquez,conductor58@ejemplo.com,282706572,Q00000058,San Juan de Lurigancho,2025-07-28,0.00,True
59,Lucas,León,conductor59@ejemplo.com,637108123,Q00000059,San Isidro,2022-05-03,0.00,True
60,Rosalinda,Gascón,conductor60@ejemplo.com,903821078,Q00000060,San Juan de Lurigancho,2023-03-13,0.00,True
61,José Mari,Carrasco,conductor61@ejemplo.com,930524415,Q00000061,Jesús María,2022-05-25,0.00,True
62,Marcelino,Criado,conductor62@ejemplo.com,034395903,Q00000062,San Isidro,2024-03-13,0.00,True
63,Melania,Salcedo,conductor63@ejemplo.com,245906667,Q00000063,Jesús María,2024-07-18,0.00,True
64,Pili,Núñez,conductor64@ejemplo.com,521193481,Q00000064,Miraflores,2022-08-25,0.00,True
65,Rosenda,Gilabert,conductor65@ejemplo.com,577976947,Q00000065,Pueblo Libre,2024-06-26,0.00,True
66,Albano,Almagro,conductor66@ejemplo.com,664650881,Q00000066,San Isidro,2024-05-08,0.00,True
67,Iker,Calderón,conductor67@ejemplo.com,340294337,Q00000067,San Borja,2024-02-11,0.00,True
68,Ciriaco,Guardia,conductor68@ejemplo.com,658392858,Q00000068,Barranco,2022-08-08,0.00,True
