id,nombre,apellido,email,telefono,distrito,fecha_nacimiento,fecha_registro,activo
1,Feliciana,Cantón,usuario1@ejemplo.com,433218196,Callao,1968-01-08,2025-11-07 00:00:00,True
2,Eligia,Amor,usuario2@ejemplo.com,863794026,Miraflores,2006-06-03,2024-02-01 00:00:00,True
3,Nicodemo,Calatayud,usuario3@ejemplo.com,615594078,La Molina,1971-03-24,2025-06-24 00:00:00,True
4,Eusebia,Pardo,usuario4@ejemplo.com,103413164,Barranco,1974-07-08,2025-10-10 00:00:00,True
5,Herminia,Lasa,usuario5@ejemplo.com,928327648,San Juan de Lurigancho,1999-03-31,2025-11-17 00:00:00,True
6,Noa,Moles,usuario6@ejemplo.com,413953767,Callao,1995-03-05,2024-02-02 00:00:00,True
7,Bárbara,Jódar,usuario7@ejemplo.com,965328710,Magdalena,1987-04-19,2025-12-02 00:00:00,True
8,Rogelio,Pizarro,usuario8@ejemplo.com,848018451,Pueblo Libre,1955-11-10,2024-12-24 00:00:00,True
9,Lorenza,Lago,usuario9@ejemplo.com,814893252,Miraflores,1972-11-13,2026-01-30 00:00:00,True
10,Alejo,Caparrós,usuario10@ejemplo.com,430391171,San Isidro,2005-11-15,2025-07-21 00:00:00,True
11,Fito,Landa,usuario11@ejemplo.com,383465787,Barranco,1973-08-09,2024-09-30 00:00:00,True
12,Dionisia,Grau,usuario12@ejemplo.com,010310518,Pueblo Libre,1984-04-08,2026-02-02 00:00:00,True
13,Loreto,Suárez,usuario13@ejemplo.com,763116566,Magdalena,1977-01-10,2025-08-10 00:00:00,True
14,Norberto,Canales,usuario14@ejemplo.com,338726247,San Juan de Lurigancho,1960-11-16,2024-05-05 00:00:00,True
15,Florinda,Alcolea,usuario15@ejemplo.com,326773602,San Juan de Lurigancho,2004-10-17,2024-08-20 00:00:00,True
16,Milagros,Sanz,usuario16@ejemplo.com,687234309,Jesús María,1958-05-06,2025-07-19 00:00:00,True
17,Albina,Valverde,usuario17@ejemplo.com,081219136,San Borja,1987-03-14,2024-07-06 00:00:00,True
18,Estefanía,Bilbao,usuario18@ejemplo.com,998543534,La Molina,1972-06-11,2023-11-24 00:00:00,True
19,Maricruz,Belmonte,usuario19@ejemplo.com,799118384,Miraflores,1975-04-10,2024-01-14 00:00:00,True
20,Fausto,Ríos,usuario20@ejemplo.com,980841241,Surco,1970-08-15,2024-03-17 00:00:00,True
21,Humberto,Novoa,usuario21@ejemplo.com,487401640,Jesús María,1964-04-02,2025-03-18 00:00:00,True
22,Vasco,Roma,usuario22@ejemplo.com,112805982,La Molina,1975-01-06,2025-09-23 00:00:00,True
23,Natividad,Ariño,usuario23@ejemplo.com,331586923,Barranco,1965-03-12,2024-01-10 00:00:00,True
24,Ámbar,Márquez,usuario24@ejemplo.com,342160733,Lince,1967-07-03,2025-11-17 00:00:00,True
25,Georgina,Ferrando,usuario25@ejemplo.com,541458685,San Isidro,1986-06-17,2025-02-05 00:00:00,True
26,Juan Manuel,Arenas,usuario26@ejemplo.com,965569816,San Isidro,1993-04-03,2025-02-27 00:00:00,True
27,Abel,Vizcaíno,usuario27@ejemplo.com,561595148,Lince,1992-08-22,2024-06-21 00:00:00,True
28,Casandra,Castejón,usuario28@ejemplo.com,662994680,La Molina,1997-05-02,2023-11-26 00:00:00,True
29,Elvira,Montserrat,usuario29@ejemplo.com,773872148,Miraflores,1991-05-07,2024-02-13 00:00:00,True
30,Jafet,Flor,usuario30@ejemplo.com,003791769,San Borja,1968-08-14,2024-08-29 00:00:00,True
31,Gabriela,Adán,usuario31@ejemplo.com,632870831,San Isidro,2008-01-18,2025-02-07 00:00:00,True
32,Dulce,Molins,usuario32@ejemplo.com,986872774,San Isidro,1988-11-27,2024-08-13 00:00:00,True
33,Leonardo,Sabater,usuario33@ejemplo.com,434558122,La Molina,1959-02-03,2023-11-03 00:00:00,True
34,Saturnino,Muro,usuario34@ejemplo.com,603669096,Callao,1995-08-16,2024-06-06 00:00:00,True
35,Reyna,Rius,usuario35@ejemplo.com,734670656,Lince,1983-12-31,2024-07-18 00:00:00,True
36,Victoria,Prada,usuario36@ejemplo.com,162720465,Barranco,1996-01-13,2024-03-10 00:00:00,True
37,Reynaldo,Lobo,usuario37@ejemplo.com,417080531,San Isidro,2000-03-02,2026-01-14 00:00:00,True
38,Ester,Corominas,usuario38@ejemplo.com,271937452,Callao,2006-10-27,2025-07-11 00:00:00,True
39,Cándido,Amigó,usuario39@ejemplo.com,966319314,La Molina,1974-02-02,2025-12-10 00:00:00,True
40,Tiburcio,Pellicer,usuario40@ejemplo.com,850671657,Barranco,2006-11-10,2023-09-26 00:00:00,True
41,Julián,Tomás,usuario41@ejemplo.com,694531473,San Isidro,1973-07-08,2025-02-05 00:00:00,True
42,Ana Belén,Morcillo,usuario42@ejemplo.com,735454948,La Molina,1968-06-24,2024-11-22 00:00:00,True
43,Santos,Torres,usuario43@ejemplo.com,777014363,Callao,1985-01-08,2023-10-29 00:00:00,True
44,Omar,Roig,usuario44@ejemplo.com,574443135,Lince,1967-02-26,2025-09-16 00:00:00,True
45,Alondra,Lloret,usuario45@ejemplo.com,134352408,Lince,1985-01-06,2025-03-03 00:00:00,True
46,José,Cases,usuario46@ejemplo.com,109477752,Barranco,1999-04-06,2024-04-14 00:00:00,True
47,Salvador,Téllez,usuario47@ejemplo.com,902294131,La Molina,1997-08-06,2024-03-13 00:00:00,True
48,Jaime,Yáñez,usuario48@ejemplo.com,774964990,Callao,1969-09-18,2024-05-07 00:00:00,True
49,Ceferino,Crespo,usuario49@ejemplo.com,281206797,San Isidro,1993-02-26,2024-06-16 00:00:00,True
50,Julia,Santiago,usuario50@ejemplo.com,349361832,Callao,1964-06-25,2025-09-07 00:00:00,True
51,Marino,Malo,usuario51@ejemplo.com,174648877,Magdalena,1994-08-14,2024-02-14 00:00:00,True
52,Elisabet,Ibáñez,usuario52@ejemplo.com,139904902,Barranco,1965-04-22,2025-09-15 00:00:00,True
53,Delfina,Ruano,usuario53@ejemplo.com,175655125,San Borja,1998-10-22,2025-02-06 00:00:00,True
54,Carmelita,Arco,usuario54@ejemplo.com,154516808,La Molina,1983-03-02,2024-05-15 00:00:00,True
55,Esther,Valentín,usuario55@ejemplo.com,034824771,San Juan de Lurigancho,1972-02-27,2024-08-08 00:00:00,True
56,Alberto,Raya,usuario56@ejemplo.com,317127484,Barranco,1979-11-24,2024-03-30 00:00:00,True
57,Espiridión,Pla,usuario57@ejemplo.com,982146584,Lince,1986-06-04,2023-10-20 00:00:00,True
58,Georgina,Tovar,usuario58@ejemplo.com,787558867,Miraflores,1975-12-26,2025-07-10 00:00:00,True
59,Roberta,Reig,usuario59@ejemplo.com,576627028,Miraflores,1960-12-21,2023-11-28 00:00:00,True
60,Visitación,Saura,usuario60@ejemplo.com,262174596,Lince,2006-04-05,2025-01-15 00:00:00,True
61,Eugenia,Torrents,usuario61@ejemplo.com,913431611,La Molina,1958-02-15,2025-12-24 00:00:00,True
62,Natividad,Barba,usuario62@ejemplo.com,556238692,Barranco,2001-11-04,2024-07-29 00:00:00,True
63,Estefanía,Hernando,usuario63@ejemplo.com,923747407,San Juan de Lurigancho,1979-02-06,2025-04-13 00:00:00,True
64,Onofre,Martínez,usuario64@ejemplo.com,474367136,Barranco,2008-04-20,2024-04-29 00:00:00,True
65,Manolo,Almeida,usuario65@ejemplo.com,409097439,San Borja,1968-12-20,2025-01-20 00:00:00,True
66,Marisol,Cerro,usuario66@ejemplo.com,047095214,Callao,1962-09-10,2024-11-17 00:00:00,True
67,Calista,Paz,usuario67@ejemplo.com,247451712,Surco,1960-06-22,2025-06-03 00:00:00,True
68,Ruperto,Alcalá,usuario68@ejemplo.com,817549651,Surco,2002-07-21,2025-06-22 00:00:00,True
69,Chelo,Mosquera,usuario69@ejemplo.com,174612004,San Juan de Lurigancho,2002-09-18,2024-08-04 00:00:00,True
70,Elpidio,Pont,usuario70@ejemplo.com,586926179,Magdalena,1967-03-16,2025-06-05 00:00:00,True
71,Victor,Guzman,usuario71@ejemplo.com,158506431,San Juan de Lurigancho,2007-02-27,2024-07-11 00:00:00,True
72,Aureliano,Múgica,usuario72@ejemplo.com,293183933,Jesús María,1970-05-20,2024-07-12 00:00:00,True
73,Espiridión,Castillo,usuario73@ejemplo.com,210205395,Jesús María,1962-05-28,2025-02-24 00:00:00,True
74,Tadeo,Zorrilla,usuario74@ejemplo.com,177589178,Barranco,1971-09-04,2025-10-11 00:00:00,True
75,Fernanda,Anguita,usuario75@ejemplo.com,766177115,Magdalena,1970-04-07,2024-10-12 00:00:00,True
76,Evita,Morcillo,usuario76@ejemplo.com,984789611,San Isidro,2002-10-04,2024-01-18 00:00:00,True
77,Severiano,Nicolau,usuario77@ejemplo.com,661565452,Miraflores,1960-08-17,2023-10-02 00:00:00,True
78,Clemente,Peralta,usuario78@ejemplo.com,809885165,San Isidro,1972-03-31,2025-09-26 00:00:00,True
79,Cristóbal,Vera,usuario79@ejemplo.com,273158514,Callao,2007-05-05,2025-09-19 00:00:00,True
80,Olivia,Amo,usuario80@ejemplo.com,024455022,Callao,1994-12-17,2024-12-24 00:00:00,True
81,Américo,Bravo,usuario81@ejemplo.com,667525459,Pueblo Libre,1964-01-12,2025-12-26 00:00:00,True
82,Esmeralda,Ayala,usuario82@ejemplo.com,476797643,Jesús María,1961-07-25,2025-02-04 00:00:00,True
83,Irene,Torrecilla,usuario83@ejemplo.com,036900343,Pueblo Libre,1962-01-17,2024-11-07 00:00:00,True
84,Anastasia,Ros,usuario84@ejemplo.com,268388516,Magdalena,2004-07-05,2025-06-17 00:00:00,True
85,Rosalva,Millán,usuario85@ejemplo.com,966416052,Magdalena,1978-11-01,2023-10-02 00:00:00,True
86,Curro,Hervia,usuario86@ejemplo.com,968164535,Miraflores,1983-10-23,2024-04-04 00:00:00,True
87,Guillermo,Olmedo,usuario87@ejemplo.com,231243292,San Juan de Lurigancho,1995-09-04,2025-11-04 00:00:00,True
88,Martirio,Sanchez,usuario88@ejemplo.com,527177449,Callao,1972-02-21,2024-08-29 00:00:00,True
89,Vito,Arellano,usuario89@ejemplo.com,541199867,La Molina,2003-11-14,2024-01-04 00:00:00,True
90,Concha,Fabra,usuario90@ejemplo.com,978207151,Callao,1993-03-11,2025-03-18 00:00:00,True
91,Valentín,Zamora,usuario91@ejemplo.com,554665905,San Isidro,1991-08-23,2025-05-05 00:00:00,True
92,Loreto,Iniesta,usuario92@ejemplo.com,519254629,Jesús María,1989-10-17,2025-09-21 00:00:00,True
93,Nando,Castell,usuario93@ejemplo.com,685054235,San Borja,1963-11-25,2026-02-26 00:00:00,True
94,Manolo,Cadenas,usuario94@ejemplo.com,592962229,San Juan de Lurigancho,1974-12-30,2023-09-17 00:00:00,True
95,Loida,Gámez,usuario95@ejemplo.com,947383473,San Juan de Lurigancho,1996-06-20,2025-06-05 00:00:00,True
96,Mayte,Piña,usuario96@ejemplo.com,239240758,Magdalena,1960-02-18,2024-01-11 00:00:00,True
97,Felipe,Llamas,usuario97@ejemplo.com,826137506,Surco,1968-03-08,2024-09-28 00:00:00,True
98,Ceferino,Perera,usuario98@ejemplo.com,051522047,San Isidro,1955-12-19,2023-09-22 00:00:00,True
99,Cebrián,Alfonso,usuario99@ejemplo.com,328986143,Callao,1977-12-09,2025-04-30 00:00:00,True
100,Nadia,Sebastián,usuario100@ejemplo.com,179808932,Callao,1974-05-22,2024-09-28 00:00:00,True
101,Concepción,Riera,usuario101@ejemplo.com,185188888,Pueblo Libre,1989-05-18,2025-08-10 00:00:00,True
102,Raúl,Izaguirre,usuario102@ejemplo.com,515319520,Surco,1999-09-13,2025-02-12 00:00:00,True
103,Isidora,Sobrino,usuario103@ejemplo.com,221704303,Surco,1976-10-17,2024-08-26 00:00:00,True
